day,temp_smooth,anomaly
1.000,-1.647,4.963
2.000,-1.753,0.412
3.000,-1.940,-2.489
4.000,-1.867,-9.084
7.000,-1.813,-0.527
8.000,-2.000,2.626
9.000,-2.280,3.587
10.000,-2.513,4.816
11.000,-2.480,1.323
12.000,-2.113,-0.044
13.000,-1.720,3.729
14.000,-0.987,3.317
15.000,-0.667,-0.400
16.000,-0.627,-1.884
17.000,-0.807,-1.145
18.000,-1.173,3.355
19.000,-0.940,3.652
20.000,-0.647,1.026
21.000,-0.667,-0.668
22.000,-0.680,1.794
23.000,-0.427,1.161
24.000,-0.133,-0.871
25.000,0.060,-2.129
26.000,-0.067,3.894
27.000,-0.187,3.716
28.000,-0.120,2.913
29.000,-0.167,2.700
30.000,-0.720,2.984
31.000,-1.533,2.094
32.000,-1.973,1.142
33.000,-2.393,0.781
34.000,-3.073,1.355
35.000,-3.540,1.935
36.000,-3.773,-0.997
37.000,-3.713,-5.774
38.000,-3.487,-10.394
39.000,-3.500,-7.068
40.000,-3.427,-8.268
41.000,-3.273,-6.410
42.000,-3.133,-3.384
43.000,-3.013,-0.558
44.000,-2.820,3.600
45.000,-2.500,6.471
46.000,-2.000,2.055
47.000,-1.460,2.532
48.000,-1.140,3.571
49.000,-0.960,4.081
50.000,-0.733,4.510
51.000,-0.707,2.816
52.000,-0.667,-0.171
53.000,-0.860,-2.545
54.000,-0.760,0.919
55.000,-0.733,-4.035
56.000,-0.953,-4.632
57.000,-1.360,-1.319
58.000,-1.787,-1.813
59.000,-2.007,2.377
60.000,-1.827,1.716
61.000,-1.440,1.794
62.000,-1.300,1.142
63.000,-0.800,-1.561
64.000,-0.487,-3.919
65.000,-0.313,-3.910
66.000,-0.120,-2.613
67.000,-0.007,0.419
68.000,0.120,1.323
69.000,0.153,1.313
70.000,0.200,1.935
71.000,0.360,-1.548
72.000,0.653,-0.306
73.000,1.040,-0.384
74.000,1.387,2.755
75.000,1.540,2.416
76.000,1.493,1.016
77.000,1.527,0.526
78.000,1.700,-0.542
79.000,2.200,-1.123
80.000,2.320,0.035
81.000,2.307,0.448
82.000,2.027,0.423
83.000,1.813,-1.677
84.000,1.780,-0.358
85.000,1.960,2.394
86.000,2.120,4.126
87.000,2.360,-0.161
88.000,2.473,-2.181
89.000,2.633,-2.945
90.000,2.740,-2.177
91.000,2.927,-0.713
92.000,3.047,2.132
93.000,3.127,0.874
94.000,2.973,1.655
95.000,2.933,1.081
96.000,2.987,2.348
97.000,2.980,1.723
98.000,2.873,0.910
99.000,2.660,1.210
100.000,2.413,3.481
101.000,2.233,1.832
102.000,2.060,-0.597
